name	weekorder	att	news
명량	-3		158
명량	-2		469
명량	-1		263
명량	0		2374
명량	1	3487737	949
명량	2	6263430	2590
명량	3	4227996	3140
명량	4	1968675	2599
명량	5	849691	1200
명량	6	289785	1429
명량	7	380555	433
명량	8	73549	781
명량	9	28692	503
명량	10	13597	908
명량	11	2098	790
명량	12	1245	250
명량	13	641	196
명량	14	106	187
명량	15		137
명량	16		505
명량	17		1856
명량	18		580
