country	att1	att2	total	region
아더 우먼	68940	3884	75068	외국
모뉴먼츠 맨: 세기의 작전	66546	4611	71157	외국
내 연애의 기억	41473	3684	45157	한국
더 울프 오브 월스트리트	327935	255683	583618	외국
어거스트: 가족의 초상	53447	14374	67869	외국
60만번의 트라이	8357	10310	18667	한국
마담 프루스트의 비밀정원	24660	115612	140272	외국
5일의 마중	20397	33133	53530	외국
오직 사랑하는 이들만이 살아남는다	16097	17216	33442	외국
비긴 어게인	133628	3283125	3416753	외국
노예 12년	171408	320497	491905	외국
슈퍼미니	56771	32389	89160	외국
가장 따뜻한 색, 블루	13889	33913	47841	외국
위크엔드 인 파리	12352	19647	32070	외국
목숨	13625	16504	30172	한국
거인	11966	9444	21410	한국
봄	9623	1808	11431	한국
